dam_ID,dam_name,dam_height,storage,file,permit,water_right,exempt_category,river,basin,county,wm_district,wm_region,meridian,township,township_char,range,range_char,sctn,latitude,longitude,last_inspection_state,next_inspection,hazard
OR01683,"Fast, Marvin",22,35,F-16,R-5971,Cert:46493 OR *,,"Salt Creek, Trib to",2,POLK,16,NW REGION,WM,6,S,5,W,31,45.01222991,-123.34364318,2014-10-29,2019,L
OR01715,Five Points Reservoir (BLM),18,28.66,F-12,R-8725,Permit: R  8725 *,FEDERAL,"Little Owyhee River, Trib to",11,MALH,9,E REGION,WM,35,S,43,E,25,42.4725418,-117.37751007,,,L
OR01722,Fleshman Reservoir 2,24,10.6,F-28,R-5247,Cert:38416 OR *,,,2,CLAC,20,NW REGION,WM,3,S,5,E,4,45.34191894,-122.20832824,2010-10-14,2016,L
OR01746,Foster Creek Reservoir,16.7,38.4,F-31,R-8648,Cert:64527 OR *,,Foster Creek,13,LAKE,12,SC REGION,WM,32,S,16,E,14,42.79365158,-120.7928009,2012-08-09,2018,L
OR01752,Fourth Creek Reservoir,12,21,F-7,R-614,Cert:11180 OR *,FEDERAL,Fourth Creek,17,COOS,19,SW REGION,WM,25,S,14,W,36,43.36228942,-124.29866027,,,S
OR01756,Fox No. 2,24,21,F-20,R-1852,Cert:33967 OR *,,,2,MARI,16,NW REGION,WM,7,S,1,E,32,44.9185791,-122.72247314,2013-02-15,2019,L
OR01764,Frazier Seeding Reservoir (BLM),25,22.3,F-3,R-7644,Cert:63152 OR *,FEDERAL,"Donner and Blitzen River, Trib",12,HARN,10,E REGION,WM,32,S,32.5,E,9,42.81483078,-118.84822845,,,L
OR01767,Freeman Reservoir 1,11.5,45,F-45,R-6437,Cert:63726 OR *,,Salt Creek,2,YAMH,16,NW REGION,WM,5,S,4,W,29,45.1079216,-123.21307373,2011-02-03,2017,L
OR01773,Freres Lumber Company Log Pond,10,45,LP-54,R-947,Cert:28703 OR *,,,2,LINN,16,NW REGION,WM,9,S,2,E,19,44.7696495,-122.60726165,2014-07-02,2020,L
OR01775,Fry Reservoir,20,15.7,F-18,R-1552,Cert:23364 OR *,,Fry Creek & Senecal Creek,2,MARI,16,NW REGION,WM,4,S,1,W,21,45.21533966,-122.80741119,2010-07-08,2016,L
OR01789,George Reservoir,20,10,G-22,R-1306,Cert:21588 OR *,,Meyers Creek,17,COOS,19,SW REGION,WM,28,S,12,W,8,43.16416168,-124.15527343,,2015,L
OR01793,Gibson and Gibson Waste Lagoon,12,36,LG-74,R-6093,Cert:49572 OR *,CAFO,Dairy barns waste,2,LANE,2,NW REGION,WM,15,S,5,W,12,44.27396011,-123.24588012,2014-04-02,2020,L
OR01806,Goodyear,15,29,G-38,R-7872,Cert:66721 OR *,FEDERAL,"Cow Creek, Trib to",11,MALH,9,E REGION,WM,28,S,45,E,36,43.08834838,-117.15128326,,,L
OR01832,Griffith Reservoir,17,45,G-23,R-1752,Cert:27823 OR *,,,2,LANE,2,NW REGION,WM,18,S,5,W,9,44.02037811,-123.29122161,2010-11-16,2016,L
OR01834,Grizzley Creek Reservoir No. 1,14,37,G-17a,R-1162,Cert:57373 CF *,,South Fork of Grizzley Creek,14,JACK,13,SW REGION,WM,38,S,4,E,7,42.27999114,-122.3945465,2006-08-22,2014,L
OR01839,Gustav Krause,23,36,K-18,R-2140,Cert:30849 OR *,,,2,WASH,18,NW REGION,WM,1,S,3,W,35,45.44583892,-123.0195465,2013-08-06,2018,L
OR01840,Guthrie Reservoir,13,23.2,G-31,R-4711,Cert:43531 OR *,,Davis Creek,2,WASH,18,NW REGION,WM,1,S,3,W,26,45.46183013,-123.02713775,2010-03-08,2015,L
OR01841,Gygi and Engel Reservoir,14,13,G-27,R-5252,Cert:37790 OR *,,Trib to Bummer Creek,18,BENT,16,NW REGION,WM,14,S,8,W,24,44.33274078,-123.61132812,2010-02-24,2016,L
OR01847,Haines - City Lagoon #2,14,21.8,LG-78b,R-7988,Cert:61717 OR *,,City Sewage,9,BAKE,8,E REGION,WM,7,S,39,E,34,44.91260147,-117.91561126,2013-03-13,2019,L
OR01848,Haines - City Lagoon #3,13.5,10.7,LG-78c,R-7988,Cert:61717 OR *,EXTRA LAGOON CELL,City Sewage,9,BAKE,8,E REGION,WM,7,S,39,E,34,44.91323089,-117.91632843,2013-03-13,2019,L
OR01872,Harper Reservoir,12,34,H-10,R-4604,Cert:38960 OR *,,,15,JACK,13,SW REGION,WM,36,S,1,E,19,42.41865921,-122.75151062,2010-02-05,2016,L
OR01883,Hartley,10,17,H-35,R-296,Cert:2063 OR *,,Munger Creek,15,JOSE,14,SW REGION,WM,39,S,5,W,4,42.21091842,-123.29734802,2012-02-23,2018,L
OR01884,Hartung Lake,12,24.6,H-3,R-6582,Cert:58673 OR *,,Willow Creek,2,WASH,18,NW REGION,WM,1,N,1,W,28,45.53876876,-122.82074737,2010-11-10,2016,L
OR01885,Haskell Reservoir,15,100,H-37,X6-394,,,Elk Creek,9,BAKE,8,E REGION,WM,10,S,39,E,23,44.68547058,-117.89364624,2015-05-20,2021,L
OR01889,Hawks Nest Reservoir,24.5,32,H-21,R-2954,Cert:58540 OR *,FEDERAL,,11,MALH,9,E REGION,WM,28,S,45,E,8,43.14677047,-117.22979736,,,L
OR01891,Hay Lake,10,200,NID-204,X12-321,,Small,Hay and Avery Creeks,12,HARN,10,E REGION,WM,24,S,24,E,24,43.47111129,-119.76055908,1960-01-01,,L
OR01892,Hayhurst Road Reservoir,30,70,D-39,,,,Bear Creek (offstream),16,DOUG,15,SW REGION,WM,22,S,5,W,18,43.65253067,-123.33940887,2015-12-01,2016,H
OR01894,Hays Reservoir,15,25,H-71,R-8148,Cert:64086 OR *,,"Willamette River, Trib to",2,YAMH,16,NW REGION,WM,4,S,3,W,3,45.252509,-123.039324,2009-03-20,2015,L
OR01899,Heater Dam,25,32.5,H-31,R-2301,Cert:34071 OR *,,South Branch Valentine Creek,2,MARI,16,NW REGION,WM,9,S,1,E,9,44.80767222,-122.68268055,2014-07-02,2017,S
OR01905,Henderer Reservoir,17,13.9,H-24,R-7402,Permit: R  7402 *,,"Hayes Creek, Trib to",2,LANE,2,NW REGION,WM,19,S,5,W,9,43.93106079,-123.28972625,2012-04-23,2018,L
OR01911,Herbert Lumber Company Log Pond,15,48,LP-51,R-1987,Cert:47270 CF *,,South Umpqua River,16,DOUG,15,SW REGION,WM,30,S,5,W,26,42.93766021,-123.25710296,2012-01-18,2015,S
OR01923,Hillcrest Reservoir,16,16.1,H-12,R-6774,Permit: R  6774 *,,South Fork Little Butte Creek,15,JACK,13,SW REGION,WM,37,S,1,W,21,42.33761978,-122.82122039,2010-02-02,2016,L
OR01925,Hills Reservoir (Polk),19,43.6,H-66,R-3195,Cert:33869 OR *,,Spring Valley Creek,2,POLK,16,NW REGION,WM,6,S,3,W,18,45.0437088,-123.09832763,2014-01-14,2020,L
OR01933,Hoefer-Pierson Reservoir,23,15.8,H-46,R-5137,Cert:41180 OR *,,Christensen Creek,2,WASH,18,NW REGION,WM,1,S,3,W,27,45.45917129,-123.04740142,2013-01-30,2016,S
OR01944,Holzhauser Reservoir,19,40,H-27,R-7701,Cert:58437 OR *,,Maple Spring Gulch,15,JOSE,14,SW REGION,WM,38,S,5,W,26,42.24085833,-123.254625,2013-02-13,2019,L
OR01945,Homesite #1,22,46,H-41,R-4912,Cert:41952 OR *,,Ridley Creek,9,BAKE,8,E REGION,WM,7,S,41,E,12,44.9676,-117.63658333,2013-03-21,2019,L
OR01951,Hoover Creek Reservoir,16,12.6,H-19,R-1539,Cert:30228 OR *,,"Hoover Creek, Trib/Butte Creek",6,WHEE,21,NC REGION,WM,6,S,21,E,22,45.02843333,-120.18641666,2014-08-26,2020,L
OR01953,Horning Reservoir  (Wash),20,22.3,H-7,R-5757,Cert:87987 CF *,,Brunswick Canyon Creek,2,WASH,18,NW REGION,WM,2,N,3,W,11,45.67422866,-123.0125885,2014-04-16,2020,L
OR01986,Hull-Oakes Lumber Company Reservoir,10,9.2,LP-52,R-4463,Cert:38205 OR *,,Trib to Oliver Creek,2,BENT,16,NW REGION,WM,14,S,6,W,16,44.36074066,-123.4140625,2010-06-24,2016,L
OR01989,Hunter Creek Reservoir,15.5,9.98,H-28,R-7424,Cert:58017 OR *,FEDERAL,"Cottonwood Creek, Trib to",10,MALH,9,E REGION,WM,21,S,42,E,15,43.74877929,-117.56855773,,,L
OR01998,Indian Canyon Reservoir,10,9.7,I-7,R-3792,Cert:62911 OR *,FEDERAL,Indian Canyon,11,MALH,9,E REGION,WM,33,S,45,E,29,42.65625,-117.2251892,,,L
OR01999,Indian Lake,10,23,I-1,R-3150,Cert:31589 OR *,,North Fork Illinois River,15,JOSE,14,SW REGION,WM,40,S,8,W,19,42.07223892,-123.69911193,2009-07-30,2015,L
OR02007,Iseli Nursery 3 Reservoir,12,46,I-3,R-9901,Cert:85586 OR *,,Unnamed/Tributary Deep Creek,2,CLAC,20,NW REGION,WM,2,S,4,E,8,45.41397094,-122.34555816,2010-08-27,2016,L
OR02020,Jackson Reservoir (Wash),10,30,J-27,R-1030,Cert:23314 OR *,,Jackson Creek,2,WASH,18,NW REGION,WM,1,S,2,W,33,45.43683611,-122.93405,2015-03-17,2021,L
OR02025,Jag Spring Reservoir,15.3,12.4,J-20,R-7278,Cert:66367 OR *,FEDERAL,"Sand Hollow Creek, Trib to",10,MALH,9,E REGION,WM,20,S,43,E,17,43.82963943,-117.48034667,,,L
OR02035,Jeffs Reservoir,22,16.6,J-28,R-4271,Cert:52114 OR *,FEDERAL,"Owyhee River, Trib to",11,MALH,9,E REGION,WM,40,S,46,E,7,42.10833358,-117.37166595,,,L
OR02042,Jim Reservoir,12.8,14.7,J-10,R-7950,Cert:67425 OR *,FEDERAL,"Dry Valley, Trib to",13,HARN,10,E REGION,WM,29,S,25,E,20,43.04433059,-119.78137969,,,L
OR02046,John Hoestre,10,32,H-22,R-5269,Cert:39455 OR *,,Upper Salt Creek,2,POLK,16,NW REGION,WM,7,S,5,W,6,44.99645996,-123.34091186,2015-06-09,2021,L
OR02048,Buether Lower Reservoir,33,45.5,B-30b,R-4712,Cert:38276 OR *,,Cottonwood Creek,5,SHER,3,NC REGION,WM,3,S,16,E,33,45.26034164,-120.8215332,2015-12-08,2021,L
OR02051,Johnson Creek Reservoir (Linn),10,10.5,J-13,R-1406,Cert:21140 OR *,,Johnson Creek,2,LINN,2,NW REGION,WM,14,S,1,W,9,44.36978149,-122.81938934,2010-11-19,2016,L
