year,type,value
1943,Human,-0.14184059328840704
1944,Human,-0.1043875515137529
1945,Human,-0.08425832038477665
1946,Human,-0.013213903461007703
1947,Human,-0.013151894723819169
1948,Human,-0.05485033431205011
1949,Human,-0.09532370391633549
1950,Human,-0.05644034598884673
1951,Human,-0.05619691794697701
1952,Human,-0.061634229384026185
1953,Human,-0.07591997345156187
1954,Human,-0.0711224082648414
1955,Human,-0.09925332762878725
1956,Human,-0.12392837758812902
1957,Human,-0.1123767426863651
1958,Human,-0.08485254840888956
1959,Human,-0.06238545399554596
1960,Human,-0.049678902163122984
1961,Human,-0.006192891621708441
1962,Human,-0.056160899583744595
1963,Human,-0.02592900435388401
1964,Human,-0.020415002769368584
1965,Human,0.012656684143507846
1966,Human,-0.0407407853673476
1967,Human,-0.03919012942566269
1968,Human,0.01181534770773851
1969,Human,0.07713322611391504
1970,Human,0.05917030394994072
1971,Human,0.09577631417403154
1972,Human,0.09121141897054486
1973,Human,0.07215294474053735
1974,Human,0.09741764882573989
1975,Human,0.09520457324629206
1976,Human,0.10688706957802196
1977,Human,0.13979385941490818
1978,Human,0.11653522182768938
1979,Human,0.1502861285479753
1980,Human,0.2190702926578183
1981,Human,0.18226616083688896
1982,Human,0.16011780547955823
1983,Human,0.26279849279853806
1984,Human,0.2612503285651542
1985,Human,0.27516942980201975
1986,Human,0.25113044619160974
1987,Human,0.28247912705455747
1988,Human,0.33807117663644703
1989,Human,0.3100854562118798
1990,Human,0.3489858074867698
1991,Human,0.35200122786261545
1992,Human,0.34629236890867787
1993,Human,0.34867118349171733
1994,Human,0.34019613662349
1995,Human,0.38482847853663316
1996,Human,0.40007179102900636
1997,Human,0.40959364652701424
1998,Human,0.4492678172107958
1999,Human,0.4633906586750527
2000,Human,0.4405248550641545
2001,Human,0.4414997416740789
2002,Human,0.4759340650887225
2003,Human,0.5170286729504028
2004,Human,0.5267401723413059
2005,Human,0.5607638434819364
1880,Natural,0.019051414740090422
1881,Natural,0.05887516110277602
1882,Natural,0.04959171526678574
1883,Natural,-0.05747425205629497
1884,Natural,-0.36572762155503824
1885,Natural,-0.3316131631962662
1886,Natural,-0.23353243479851926
1887,Natural,-0.22685506997487437
1888,Natural,-0.2006100876022856
1889,Natural,-0.17550563471132818
1890,Natural,-0.19975923548224728
1891,Natural,-0.1743721358525363
1892,Natural,-0.14129334168347896
1893,Natural,-0.14225778103400444
1894,Natural,-0.060059283842804234
1895,Natural,-0.06315564822216402
1896,Natural,-0.03781918903592896
1897,Natural,-0.037679150983933596
1898,Natural,-0.05244546651516657
1899,Natural,-0.06577113759084341
1900,Natural,-0.02856609514020647
1901,Natural,0.003880598133036983
1902,Natural,0.014477320393723403
1903,Natural,-0.20238567780825178
1904,Natural,-0.13725828218883862
1905,Natural,-0.06455620851733102
1906,Natural,-0.09072359583001344
1907,Natural,-0.04127250148326311
1908,Natural,-0.05986261023599582
1909,Natural,-0.028202188539239614
1910,Natural,0.015028385214179707
1911,Natural,0.07797689841703459
1912,Natural,-0.032106919958607705
1913,Natural,-0.10086873403804475
1914,Natural,-0.00964756179627102
1915,Natural,0.045174427200095124
1916,Natural,0.07312293764113065
1917,Natural,0.06681831482802636
1918,Natural,0.05258108490181712
1919,Natural,0.040077254957793684
1920,Natural,-0.002137472419065034
1921,Natural,-0.009990379634416513
1922,Natural,-0.012207346561353916
1923,Natural,0.010014090938000209
1924,Natural,0.01769226932771062
1925,Natural,0.10089956627979291
1926,Natural,0.05640722773586049
1927,Natural,0.01637082790597333
1928,Natural,-0.009099744485467909
1929,Natural,0.0020949152391835923
1930,Natural,0.02762842972828139
1931,Natural,-0.031216410134049966
1932,Natural,-0.046241065295532735
1933,Natural,0.02749708253799099
1934,Natural,0.03877212906883187
1935,Natural,0.051682393137753024
1936,Natural,0.012455600939290434
1937,Natural,0.0426118056312248
1938,Natural,0.0776107353302109
1939,Natural,0.0750372232325276
